,prob,S_label,true_label_proxy,marginalize
0,0.9330372806920361,0,1,False
1,0.9517476081050384,0,1,False
2,0.8405678422103198,0,1,False
3,0.445423345308933,0,0,False
4,0.5938065021134128,0,1,False
5,0.9060324109353023,0,1,False
6,0.4797057308299778,0,1,False
7,0.9612824609736114,0,1,False
8,0.4129531785095782,0,0,False
9,0.4166029209034658,1,0,False
10,0.41426677040901183,1,0,False
11,0.8275800053643224,1,1,False
12,0.5505292536432018,1,1,False
13,0.7293208565626649,1,0,False
14,0.8706292433150681,0,1,False
15,0.41434037176637484,0,1,False
16,0.49169250878105253,1,0,False
17,0.8967038171994537,0,1,False
18,0.8114943407571408,0,1,False
19,0.9012183450105802,0,1,False
20,0.8692509590511671,0,1,False
21,0.7967915671109981,0,1,False
22,0.9015033423440962,0,1,False
23,0.8636467954123194,0,1,False
24,0.836875659326623,0,1,False
25,0.7412881122776209,1,1,False
26,0.8212283531859473,0,1,False
27,0.7928705162235749,0,0,False
28,0.598726461350758,0,1,False
29,0.5956317259005744,0,1,False
30,0.5158093634542305,0,1,False
31,0.8299562010871929,0,1,False
32,0.6847491709985559,1,1,False
33,0.670592749171007,0,0,False
34,0.4858637861681456,0,0,False
35,0.8049700281797384,0,1,False
36,0.814067312122244,0,1,False
37,0.8280638093797767,0,1,False
38,0.6367744699156902,0,1,False
39,0.5202788032078652,1,0,False
40,0.7909531275830989,1,1,False
41,0.9010932634242761,0,1,False
42,0.901591311557753,1,1,False
43,0.6497326686893021,0,1,False
44,0.7913120017554257,0,1,False
45,0.7411483614886674,0,1,False
46,0.7764816371249251,0,1,False
47,0.4536236532258955,0,0,False
48,0.8027862294166065,0,1,False
49,0.7429311264168159,1,1,False
50,0.5958979884456603,1,1,False
51,0.6404996901699106,1,0,False
52,0.5981855566929787,0,1,False
53,0.508888717805899,0,0,False
54,0.5990186362756477,0,0,False
55,0.7217372391351716,1,1,False
56,0.67760417318463,0,1,False
57,0.7458258986632769,0,1,False
58,0.33397140199562975,0,0,False
59,0.6599033898872506,1,1,False
60,0.5805708917958377,1,1,False
