,prob,S_label,true_label_proxy
0,0.9330372806920361,0,1
1,0.9517476081050384,0,1
2,0.8405678422103198,0,1
3,0.445423345308933,0,0
4,0.5938065021134128,0,1
5,0.9060324109353023,0,1
6,0.4797057308299778,0,1
7,0.9612824609736114,0,1
8,0.4129531785095782,0,0
9,0.4166029209034658,1,0
10,0.41426677040901183,1,0
11,0.8275800053643224,1,1
12,0.5505292536432018,1,1
13,0.7293208565626649,1,0
14,0.8706292433150681,0,1
15,0.41434037176637484,0,1
16,0.49169250878105253,1,0
17,0.8967038171994537,0,1
18,0.8114943407571408,0,1
19,0.9012183450105802,0,1
20,0.8692509590511671,0,1
21,0.7967915671109981,0,1
22,0.9015033423440962,0,1
23,0.8636467954123194,0,1
24,0.836875659326623,0,1
25,0.7412881122776209,1,1
26,0.8212283531859473,0,1
27,0.7928705162235749,0,0
28,0.598726461350758,0,1
29,0.5956317259005744,0,1
30,0.5158093634542305,0,1
31,0.8299562010871929,0,1
32,0.6847491709985559,1,1
33,0.670592749171007,0,0
34,0.4858637861681456,0,0
35,0.8049700281797384,0,1
36,0.814067312122244,0,1
37,0.8280638093797767,0,1
38,0.6367744699156902,0,1
39,0.5202788032078652,1,0
40,0.7909531275830989,1,1
41,0.9010932634242761,0,1
42,0.901591311557753,1,1
43,0.6497326686893021,0,1
44,0.7913120017554257,0,1
45,0.7411483614886674,0,1
46,0.7764816371249251,0,1
47,0.4536236532258955,0,0
48,0.8027862294166065,0,1
49,0.7429311264168159,1,1
50,0.5958979884456603,1,1
51,0.6404996901699106,1,0
52,0.5981855566929787,0,1
53,0.508888717805899,0,0
54,0.5990186362756477,0,0
55,0.7217372391351716,1,1
56,0.67760417318463,0,1
57,0.7458258986632769,0,1
58,0.33397140199562975,0,0
59,0.6599033898872506,1,1
60,0.5805708917958377,1,1
61,0.8914105729753715,0,1
62,0.761034077170915,1,1
63,0.756353870104691,0,0
64,0.7513064579601866,0,1
65,0.6395055591194222,0,0
66,0.9396267846990186,0,1
67,0.7397680344556499,0,1
68,0.6217946237688157,0,1
69,0.7646377994986097,1,0
70,0.8878077099192329,0,1
71,0.4919568545186446,1,1
72,0.9232514893969667,1,1
73,0.8966254892650274,0,1
74,0.8898019902610861,1,1
75,0.45286074193220005,0,0
76,0.6977932495791,0,1
77,0.7497431505438428,0,0
78,0.9392828528986279,0,1
79,0.9123742566390024,0,1
80,0.5547945375309078,0,1
81,0.912401938232408,0,1
82,0.33483610167260863,0,0
83,0.9018091664365784,1,1
84,0.8602557697564975,0,1
85,0.44079650019663236,0,1
86,0.5754886666976683,0,1
87,0.8914750905298735,1,1
88,0.7788349599203033,0,0
89,0.8020016573255785,0,1
90,0.8964515952157269,0,1
91,0.7201877826686904,0,1
92,0.40915006015388883,1,1
93,0.45336660286577163,0,1
94,0.5829498589963515,1,0
95,0.9331677712801193,0,1
96,0.9092845669767275,0,1
97,0.7812909668089165,1,0
98,0.8979193364625696,1,1
99,0.916254071088588,1,0
100,0.926791749324928,0,1
101,0.6871573256492651,1,0
102,0.6848391810446174,1,1
103,0.6797932310034059,0,1
104,0.713387359009954,0,1
105,0.7882428100839383,0,1
106,0.5569501723683502,0,0
107,0.7372696500022189,0,1
108,0.6945941096698641,1,1
109,0.6385859547617613,0,0
110,0.6441243215607548,0,1
111,0.9392372409807397,1,1
112,0.8689191364402913,0,1
113,0.8907015315241668,0,0
114,0.7733944592305647,1,1
115,0.9083727792958286,0,1
116,0.595110948427993,0,1
117,0.8636432201246611,1,1
118,0.938164797608485,1,1
119,0.8922175771600014,1,1
120,0.814545048534932,0,1
121,0.7766979648396835,0,1
122,0.9415129733578628,0,1
123,0.8565411141919823,1,1
124,0.6418036632359456,0,1
125,0.7489390438626057,1,0
126,0.9452970834272191,0,1
127,0.5490973604485587,0,1
128,0.9234085401489593,0,1
129,0.899982811775674,0,1
130,0.7063300368871558,1,1
131,0.9116634780874736,0,1
132,0.8852164102770742,0,1
133,0.9437696971855392,0,1
134,0.7004778146533434,1,0
135,0.866771101562027,1,1
136,0.8081964288329749,1,1
137,0.7351809058818145,0,0
138,0.8346874617732787,1,1
139,0.8327659429560718,1,0
140,0.8802376824259641,0,1
141,0.769668659176513,0,0
142,0.5349914798982106,1,0
143,0.956301761738875,0,1
144,0.712090444202375,0,1
145,0.8191528927348194,0,1
146,0.664034170602375,0,0
147,0.5282689458528536,0,0
148,0.5679176438284095,0,0
149,0.935263412315684,0,1
150,0.6711723147779214,0,0
151,0.5878947577074749,1,0
152,0.6492492602597788,0,1
153,0.822698865488092,0,0
154,0.5369402322069332,1,1
155,0.4164093322020719,0,0
156,0.46862474873372906,0,0
157,0.5002934433116013,0,0
158,0.9151269721144536,1,1
159,0.2927743692446071,1,0
160,0.36166681489329594,0,1
161,0.7946626007357878,0,0
162,0.9489573222156404,0,1
163,0.6751870613181064,0,1
164,0.7153233557442266,0,1
165,0.703794029294916,0,0
166,0.8846469417478623,0,1
167,0.637316386646506,0,1
168,0.9330372806920361,0,1
169,0.4593740298282737,0,1
170,0.8980192311407775,0,1
171,0.9196301678483918,1,1
172,0.5754570347897234,0,0
173,0.9440365240075432,1,1
174,0.7362484564891995,0,1
175,0.5977306484551624,0,1
176,0.856679260454587,1,1
177,0.6409189092224966,0,1
178,0.48757727810908974,1,1
179,0.5840443302125377,0,1
180,0.7650151761009338,0,0
181,0.8322032315252461,0,0
182,0.29140759038251574,0,1
183,0.4894759616877368,0,0
184,0.9156932791301254,0,1
185,0.8567703207507031,0,1
186,0.9543036537582656,0,1
187,0.46143399124267864,0,0
188,0.7801409401741547,0,0
189,0.21505409934700923,0,0
190,0.876009913773271,1,1
191,0.9244936492405704,0,1
192,0.5527884613778695,1,0
193,0.870952165728463,0,1
194,0.7976810604344421,1,1
195,0.9128129774432625,1,1
196,0.7638628964144073,0,1
197,0.9168860997878067,0,1
198,0.7242407795104172,0,1
199,0.5553063424653536,1,0
200,0.9676648157256462,1,1
201,0.8407792171395332,1,1
202,0.8569812497909213,0,1
203,0.8395446272379061,0,1
204,0.8172872108992854,0,1
205,0.5215115258405973,0,0
206,0.7178395745147199,1,1
207,0.89065683530719,1,1
208,0.8684211381433289,0,1
209,0.802126495373,1,1
210,0.7821392117995783,0,1
211,0.6812123366794642,0,0
212,0.7921682999926059,0,1
213,0.6177722388370008,1,1
214,0.877555756048532,0,0
215,0.6832972809325311,0,1
216,0.8318104328602033,0,1
217,0.9565571694162017,1,1
218,0.33483610167260863,0,1
219,0.598473770891908,0,0
220,0.7030298591391647,0,0
221,0.8771683148782748,0,1
222,0.838908782331209,1,1
223,0.9372519856806003,0,1
224,0.8815352478797829,1,0
225,0.8128460619917722,0,1
226,0.6000905384363253,0,1
227,0.6004364364597173,0,1
228,0.8162813373988481,1,1
229,0.6592530616099858,0,1
230,0.7379994003279494,0,1
231,0.8213126110102392,1,1
232,0.8697595340518559,0,1
233,0.36267283510493376,0,0
234,0.7814371954660836,1,1
235,0.5865359393411378,0,1
236,0.5249697255142582,0,1
237,0.7113113526526345,1,0
238,0.6281931612901539,1,1
239,0.7700506833135983,0,1
240,0.8964929987942025,1,1
241,0.6185271373338582,1,0
242,0.6252801089603501,0,0
243,0.9036447176500394,0,1
244,0.7582776403908392,0,0
245,0.8896353895984199,0,1
246,0.5858390104290541,1,1
247,0.7890690825079176,0,0
248,0.40963039582006644,0,1
249,0.4455762648187249,0,1
250,0.661259139779673,1,1
251,0.6517578604072977,0,0
