S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,1,0.9412068128585815,1.0,1,0,0.02110688015818596,0.0,0,0,0.09831202775239944,0.0
0,1,0.9860748052597046,0.9999994039535522,0,1,0.032368920743465424,0.9999998807907104,0,1,0.9409298896789551,0.9999992847442627
0,1,0.5891637802124023,1.0,0,1,0.8064534664154053,0.9999997615814209,1,1,0.9177119731903076,0.9999999403953552
0,0,0.22721979022026062,0.0,0,1,0.9610669016838074,0.9999997019767761,0,1,0.6105901598930359,0.9999997615814209
0,1,0.8696852922439575,0.9999995231628418,0,1,0.9562643766403198,0.9999995231628418,0,1,0.2918347418308258,1.0
0,1,0.9866881370544434,0.9999999403953552,1,1,0.971556544303894,1.0,0,1,0.09435749053955078,1.0
0,1,0.00712638208642602,1.0,0,0,0.549070417881012,0.0,0,0,0.07156985253095627,0.0
0,1,0.9984959959983826,1.0,1,1,0.9316208362579346,0.9999997019767761,1,1,0.6859580278396606,0.9999997019767761
0,0,0.05528506636619568,0.0,0,1,0.22303777933120728,0.9999996423721313,1,0,0.007111873012036085,0.0
1,0,0.027865679934620857,0.0,1,0,0.6920874714851379,0.0,0,1,0.9416929483413696,0.9999995231628418
1,0,0.0028226044960319996,0.0,0,1,0.2541866600513458,1.0,0,1,0.5013585686683655,1.0
1,1,0.9736514091491699,0.9999997019767761,1,0,0.02908974140882492,0.0,1,1,0.9776570200920105,1.0
1,1,0.9170916676521301,0.9999999403953552,1,1,0.7742146849632263,1.0,0,1,0.9673740863800049,0.9999996423721313
1,0,0.020533662289381027,0.0,0,1,0.9828020334243774,1.0,0,0,0.6088509559631348,0.0
0,1,0.9969545602798462,1.0,0,1,0.6546847820281982,1.0,0,1,0.3913329839706421,1.0
0,1,0.06498759239912033,0.9999997019767761,0,1,0.04685119166970253,1.0,0,1,0.9110816717147827,0.9999995827674866
1,0,0.015813857316970825,0.0,0,0,0.020415855571627617,0.0,0,1,0.9761484861373901,0.9999995231628418
0,1,0.9678031802177429,1.0,0,1,0.9953291416168213,0.9999994039535522,0,1,0.9948028922080994,0.9999998211860657
0,1,0.6342700123786926,0.9999998807907104,0,1,0.8899120092391968,0.9999997019767761,0,0,0.4891606569290161,0.0
0,1,0.9488407373428345,0.999999463558197,0,1,0.9286862015724182,1.0,0,1,0.9717143177986145,0.999999463558197
0,1,0.9989303350448608,0.9999992847442627,0,0,0.42147296667099,0.0,1,0,0.4308229088783264,0.0
0,1,0.7260556221008301,1.0,1,0,0.00537123205140233,0.0,0,1,0.7450790405273438,1.0
0,1,0.98677659034729,0.9999995231628418,1,1,0.8799295425415039,0.9999997615814209,0,0,0.403940886259079,0.0
0,1,0.989225447177887,0.9999995827674866,0,1,0.9994000792503357,0.9999993443489075,0,1,0.801449179649353,0.9999995231628418
0,1,0.9384350180625916,1.0,0,1,0.6445514559745789,0.9999995231628418,0,1,0.3324207067489624,0.999999463558197
1,1,0.9563685655593872,0.9999998211860657,0,1,0.994735062122345,0.9999993443489075,0,1,0.4293486773967743,0.999999463558197
0,1,0.9464070200920105,1.0,0,0,0.9834771156311035,0.0,0,1,0.9295811653137207,0.9999992847442627
0,0,0.2938236594200134,0.0,1,0,0.06757835298776627,0.0,0,0,0.012796123512089252,0.0
0,1,0.9836300015449524,1.0,0,1,0.6983627080917358,0.9999997019767761,0,1,0.7611944079399109,1.0
0,1,0.5944662690162659,1.0,1,1,0.9879802465438843,1.0,0,1,0.8964521288871765,0.9999997019767761
0,1,0.027320317924022675,1.0,1,1,0.965249240398407,0.9999998211860657,0,1,0.1714613437652588,1.0
0,1,0.008948174305260181,1.0,0,1,0.15685081481933594,1.0,0,1,0.998731255531311,0.9999994039535522
1,1,0.7653378248214722,0.9999999403953552,1,1,0.9497779607772827,0.9999998807907104,0,1,0.915564775466919,0.9999998211860657
0,0,0.8223044276237488,0.0,0,1,0.864037275314331,0.999999463558197,0,1,0.4370054602622986,1.0
0,0,0.8899849653244019,0.0,0,1,0.803078830242157,1.0,1,1,0.8836894035339355,1.0
0,1,0.9863757491111755,0.9999998211860657,1,0,0.08830007165670395,0.0,0,1,0.9853894710540771,0.9999995231628418
0,1,0.6979918479919434,0.9999995827674866,1,1,0.9978079795837402,1.0,0,1,0.18435721099376678,0.9999997615814209
0,1,0.9278009533882141,0.9999993443489075,1,0,0.060383278876543045,0.0,0,0,0.43515440821647644,0.0
0,1,0.02211129479110241,0.9999997019767761,1,1,0.971556544303894,1.0,0,1,0.9246669411659241,1.0
1,0,0.008013171143829823,0.0,1,1,0.9587447047233582,0.9999999403953552,1,1,0.9986885786056519,0.9999996423721313
1,1,0.9976823925971985,1.0,0,0,0.16109837591648102,0.0,1,1,0.995974063873291,0.9999997615814209
0,1,0.9646610021591187,1.0,0,1,0.5470894575119019,0.9999995231628418,0,1,0.8659651279449463,0.9999996423721313
1,1,0.9958752989768982,1.0,1,1,0.9930897951126099,1.0,0,1,0.9781646132469177,1.0
0,1,0.9564357995986938,0.9999998807907104,0,1,0.9954525232315063,0.9999993443489075,0,0,0.4147590398788452,0.0
0,1,0.1566561758518219,1.0,1,1,0.9847621917724609,1.0,1,1,0.8397378921508789,1.0
0,1,0.890108048915863,0.9999995827674866,1,1,0.9727168083190918,1.0,0,1,0.9790946245193481,1.0
0,1,0.867975115776062,0.999999463558197,1,1,0.9583022594451904,1.0,0,1,0.7722485661506653,0.9999999403953552
0,0,0.017304273322224617,0.0,0,1,0.143147274851799,0.9999998807907104,1,1,0.6721652150154114,1.0
0,1,0.958071768283844,1.0,0,1,0.32096067070961,1.0,0,0,0.7624985575675964,0.0
1,1,0.9933408498764038,1.0,0,0,0.9837753772735596,0.0,0,1,0.1574280709028244,1.0
1,1,0.9862245917320251,0.9999996423721313,1,0,0.004828338511288166,0.0,0,1,0.06145506724715233,1.0
1,0,0.00979793444275856,0.0,1,0,0.0029311729595065117,0.0,1,0,0.033039599657058716,0.0
0,1,0.4285648763179779,1.0,0,1,0.9476027488708496,1.0,1,1,0.9458785057067871,0.9999997019767761
0,0,0.015669438987970352,0.0,0,0,0.6411427855491638,0.0,0,1,0.9870429635047913,0.9999992847442627
0,0,0.014396977610886097,0.0,1,0,0.2681965231895447,0.0,1,1,0.9930064678192139,1.0
1,1,0.7051651477813721,1.0,0,1,0.0428314208984375,1.0,1,1,0.9899372458457947,0.9999998807907104
0,1,0.794872522354126,1.0,0,1,0.3590926229953766,0.9999997019767761,1,1,0.9186304807662964,0.9999997019767761
0,1,0.7423653602600098,1.0,0,1,0.756567656993866,0.9999995827674866,0,0,0.0027057130355387926,0.0
0,0,0.08275703340768814,0.0,0,1,0.8455066680908203,0.9999995827674866,0,1,0.9809218049049377,0.999999463558197
1,1,0.940163254737854,1.0,0,1,0.9239581823348999,0.999999463558197,1,0,0.0176647137850523,0.0
1,1,0.8807228803634644,1.0,0,1,0.9463041424751282,0.9999997019767761,1,0,0.010606720112264156,0.0
0,1,0.9836243391036987,0.9999997019767761,0,0,0.10203605890274048,0.0,1,0,0.022672057151794434,0.0
1,1,0.9909101128578186,1.0,0,1,0.9150890111923218,0.9999996423721313,1,0,0.3838365077972412,0.0
0,0,0.4619247019290924,0.0,1,1,0.9800112843513489,0.9999997615814209,0,0,0.8860563039779663,0.0
0,1,0.1698950082063675,1.0,0,1,0.938678503036499,0.9999995231628418,0,0,0.9223180413246155,0.0
0,0,0.4062429964542389,0.0,0,1,0.1513662040233612,1.0,1,1,0.9990534782409668,1.0
0,1,0.9439462423324585,0.9999998211860657,1,1,0.9922160506248474,1.0,0,1,0.7658954858779907,0.999999463558197
0,1,0.9704594612121582,0.9999997615814209,0,1,0.9386212229728699,0.999999463558197,0,1,0.4654153287410736,0.9999998211860657
0,1,0.8229555487632751,0.9999998211860657,0,0,0.014457461424171925,0.0,1,0,0.18471644818782806,0.0
1,0,0.02081848680973053,0.0,0,1,0.9960498213768005,0.999999463558197,0,1,0.9707945585250854,0.999999463558197
0,1,0.9894622564315796,0.9999995827674866,0,0,0.9505370855331421,0.0,0,1,0.27665767073631287,1.0
1,1,0.8914912939071655,0.9999995827674866,0,1,0.9589584469795227,0.9999995231628418,1,1,0.9488934278488159,0.9999997019767761
1,1,0.9990200996398926,0.9999997615814209,0,0,0.1522747427225113,0.0,1,0,0.01561795361340046,0.0
0,1,0.993114709854126,1.0,0,1,0.07972780615091324,0.9999998807907104,0,0,0.9369389414787292,0.0
1,1,0.9970660209655762,1.0,1,1,0.9858267903327942,0.9999996423721313,0,1,0.9646610021591187,1.0
0,0,0.011641995050013065,0.0,0,0,0.0065968879498541355,0.0,0,0,0.017938273027539253,0.0
0,1,0.5514192581176758,0.9999997615814209,0,1,0.48514944314956665,1.0,0,1,0.39887213706970215,0.9999996423721313
0,0,0.2456969916820526,0.0,0,1,0.9841338396072388,0.9999994039535522,0,1,0.9975708723068237,0.9999994039535522
0,1,0.9793505072593689,0.9999997019767761,1,1,0.9991601705551147,1.0,0,0,0.4062429964542389,0.0
0,1,0.9039459228515625,1.0,1,1,0.9245234131813049,1.0,0,1,0.5596383213996887,1.0
0,1,0.07960806787014008,1.0,0,0,0.058363381773233414,0.0,0,1,0.9429618716239929,0.9999999403953552
0,1,0.5353603363037109,1.0,0,1,0.981963038444519,1.0,0,1,0.9664040803909302,0.9999997019767761
0,0,0.007484077010303736,0.0,0,1,0.35134005546569824,0.9999998211860657,1,0,0.06665264815092087,0.0
1,1,0.997413158416748,1.0,0,1,0.9763104319572449,1.0,0,1,0.995364248752594,1.0
0,1,0.981115460395813,0.9999998807907104,0,1,0.9647741317749023,1.0,1,1,0.9892671704292297,0.9999996423721313
0,1,0.10541246831417084,1.0,0,0,0.6248601078987122,0.0,0,1,0.9958152174949646,1.0
0,1,0.6737862229347229,0.9999998211860657,0,0,0.23588575422763824,0.0,0,0,0.36962682008743286,0.0
1,1,0.9849669337272644,1.0,1,0,0.00936298631131649,0.0,0,0,0.19754096865653992,0.0
0,0,0.17457036674022675,0.0,1,0,0.003060993505641818,0.0,0,1,0.987586259841919,0.9999994039535522
0,1,0.8059428930282593,0.9999993443489075,0,1,0.9261513352394104,0.9999997019767761,1,0,0.060158077627420425,0.0
0,1,0.961069643497467,0.9999997019767761,,,,,0,1,0.928100049495697,0.9999994039535522
0,1,0.993820071220398,0.9999995231628418,,,,,0,1,0.9201699495315552,0.9999996423721313
1,1,0.5249325633049011,0.9999998807907104,,,,,0,1,0.10818573087453842,1.0
0,1,0.05788539722561836,1.0,,,,,0,1,0.9471699595451355,0.9999999403953552
1,0,0.005143789574503899,0.0,,,,,0,1,0.04129086434841156,1.0
0,1,0.9895349144935608,1.0,,,,,1,1,0.9460192322731018,0.9999997615814209
0,1,0.9274895191192627,1.0,,,,,0,1,0.8030796051025391,1.0
1,0,0.041816145181655884,0.0,,,,,0,0,0.08339735120534897,0.0
1,1,0.9719647765159607,0.9999997615814209,,,,,1,1,0.8570657968521118,1.0
1,0,0.25991523265838623,0.0,,,,,0,0,0.5261418223381042,0.0
0,1,0.6550626754760742,0.9999998807907104,,,,,,,,
1,0,0.004277413710951805,0.0,,,,,,,,
1,1,0.9769132733345032,1.0,,,,,,,,
0,1,0.9790507555007935,0.9999999403953552,,,,,,,,
0,1,0.06269561499357224,1.0,,,,,,,,
0,1,0.9983369708061218,1.0,,,,,,,,
0,0,0.07408705353736877,0.0,,,,,,,,
0,1,0.5216601490974426,1.0,,,,,,,,
1,1,0.9933484196662903,1.0,,,,,,,,
0,0,0.06573972851037979,0.0,,,,,,,,
0,1,0.9363449215888977,0.9999994039535522,,,,,,,,
1,1,0.9955344200134277,0.9999998807907104,,,,,,,,
0,1,0.7526821494102478,0.9999999403953552,,,,,,,,
0,0,0.8984960317611694,0.0,,,,,,,,
1,1,0.9761784672737122,1.0,,,,,,,,
0,1,0.9961837530136108,0.999999463558197,,,,,,,,
0,1,0.8309198617935181,0.9999998211860657,,,,,,,,
1,1,0.9558214545249939,1.0,,,,,,,,
1,1,0.9981220960617065,0.9999995231628418,,,,,,,,
1,1,0.9964557886123657,1.0,,,,,,,,
0,1,0.9623996019363403,1.0,,,,,,,,
0,1,0.22990848124027252,1.0,,,,,,,,
0,1,0.9945605397224426,0.9999999403953552,,,,,,,,
1,1,0.9932337999343872,1.0,,,,,,,,
0,1,0.019552081823349,0.9999995827674866,,,,,,,,
1,0,0.11424469947814941,0.0,,,,,,,,
